year,gdp_growth,inflation,unemployment,gdp_per_capita,population,food_production_index,cereal_yield,cereal_production_tonnes,agricultural_land_pct,dietary_energy_supply_adequacy,economic_stress_score,data_completeness_score,latitude,longitude,food_pressure_score,income_group_Low_income,income_group_Lower_middle_income,income_group_Not_classified,income_group_Upper_middle_income,inflation_unemployment,inflation_minus_growth,inflation_squared
2014,2.24022695382642,1.62586504402613,18.055,8.475245044548405,14.835717242617529,96.84,4892.6,13.459365473625148,40.8449,133.0,59.9,100.0,41.3317,19.8172,35.97996746351722,False,False,False,True,29.354993369891776,-0.6143619098002899,2.6434371413860895
2015,2.2277040745779,1.89617402592356,17.193,8.342968160141583,14.820286047536092,100.07,4873.8,13.451668563394817,40.8452,133.0,61.7,100.0,41.3317,19.8172,30.24342376699116,False,False,False,True,32.60092002770377,-0.33153004865434,3.5954759365871616
2016,3.90893551362245,1.27543168367423,15.418,8.40259774745396,14.80485470614354,103.09,4716.4,13.456591669693124,41.1026,134.0,52.9,100.0,41.3317,19.8172,24.893164537562896,False,False,False,True,19.66460569888928,-2.6335038299482196,1.6267259797200813
2017,3.28317593330073,1.98666133171194,13.616,8.518664134952077,14.7894231962491,103.88,4813.0,13.461311118862085,40.8446,134.0,55.99,100.0,41.3317,19.8172,28.44232749227229,False,False,False,True,27.050380692589773,-1.29651460158879,3.9468232469194584
2018,3.67141928098908,2.02805963071134,12.304,8.682479557427557,14.773992202961924,106.02,4840.5,13.427193085189993,40.8376,135.0,51.44,100.0,41.3317,19.8172,26.8994595079504,False,False,False,True,24.953245696272326,-1.6433596502777403,4.113025865721016
2019,2.06257790176122,1.41109078954242,11.466,8.7111862094957,14.758560838015676,104.0,5038.2,13.409144043711636,40.8348,135.0,53.82,100.0,41.3317,19.8172,32.67544427135358,False,False,False,True,16.17956699289339,-0.6514871122188,1.9911772163314505
2020,-3.31375636888916,1.6208866171702,11.639,8.704322092253388,14.743129285137378,105.72,5209.2,13.435748283708426,40.541,135.0,51.17,100.0,41.3317,19.8172,30.43774637588093,False,False,False,True,18.865499337243957,4.93464298605936,2.6272734257214547
2021,8.96957619074095,2.04147163139544,11.474,8.887853599645704,14.727698083188026,104.92,5144.7,13.446079890306503,39.5245,132.0,42.19,100.0,41.3317,19.8172,35.76777301059075,False,False,False,True,23.42384549863128,-6.92810455934551,4.167606421792359
2022,4.8268006234359,6.72520271530059,10.785,8.956474935309647,14.712266522664525,105.4,5200.7,13.445679449975987,39.4991,130.0,51.08,100.0,41.3317,19.8172,37.27747616262722,False,False,False,True,72.53131128451686,1.89840209186469,45.22835156188643
2002,4.54636221364653,2.907996885877615,6.91,10.185998655897723,11.105062484262064,75.65,2387.1000000000004,14.09528515230511,48.617,114.0,23.94,35.0,42.5075,1.5218,48.7522757938417,False,False,False,False,20.09425848141432,-1.638365327768915,8.456445888273906
